,Name,Class,Probability,g no points,r no points
113,ZTF22abwuywu,SNIbc,0.398,3,6
114,ZTF22abvfvqp,SNIbc,0.298,13,5
115,ZTF22abvhiip,SNIbc,0.46,4,9
116,ZTF22abttbmf,SNII,0.312,8,9
117,ZTF22aaeyicl,SNIbc,0.284,7,6
118,ZTF22abuphjz,SLSN,0.29,20,18
119,ZTF22abtprtn,SNIbc,0.392,6,7
120,ZTF22abvjyyn,SNIbc,0.35,5,11
121,ZTF22aaeygxs,SNIbc,0.286,7,7
122,ZTF19adhofbq,SNII,0.39,14,24
123,ZTF18adiocds,SLSN,0.27,9,6
124,ZTF22abypvla,SNIbc,0.346,0,7
125,ZTF22abuagru,SLSN,0.452,10,12
126,ZTF22abxqnfl,SLSN,0.368,11,6
127,ZTF22abrksxv,SLSN,0.522,7,8
128,ZTF22abtomri,SNIbc,0.484,8,14
129,ZTF22abypvui,SNIbc,0.372,4,9
130,ZTF22aaggwso,SNII,0.326,16,12
131,ZTF22aaexzxf,SNII,0.328,13,15
132,ZTF22abunjts,SNIbc,0.454,14,20
133,ZTF22abunqbo,SNIbc,0.32,1,26
134,ZTF22abulusd,SNIbc,0.46,9,12
135,ZTF22abwozmt,SNIbc,0.382,2,7
136,ZTF22abwvhlu,SNII,0.292,0,9
137,ZTF22abycvxw,SNIbc,0.37,3,8
138,ZTF18admazuf,SNIbc,0.346,7,10
139,ZTF18adnqesw,SNIbc,0.282,5,6
140,ZTF20abhsfnt,SNIbc,0.312,5,11
141,ZTF22abyrfda,SNIbc,0.352,6,11
142,ZTF22abysbit,SNII,0.336,27,14
143,ZTF18abxjomn,SNIbc,0.33,7,3
144,ZTF22abyqxxr,SNII,0.322,21,17
145,ZTF22abwljjv,SNIbc,0.478,7,9
146,ZTF22abwmfih,SNIa,0.3,3,9
147,ZTF18adaqsue,SNIbc,0.374,6,6
148,ZTF22aahgirq,SNIbc,0.312,7,7
149,ZTF22abystaj,SLSN,0.426,9,13
150,ZTF22abyqynr,SLSN,0.344,16,10
151,ZTF19abyrzqj,SNIbc,0.374,8,8
152,ZTF22aagzypc,SNII,0.382,14,14
153,ZTF22abyrkmg,SNIbc,0.312,1,7
154,ZTF22abtufwt,SNIbc,0.514,5,7
155,ZTF18adngmic,SNIbc,0.322,6,3
156,ZTF22abycyvn,SNII,0.372,3,11
157,ZTF22abythmz,SNIbc,0.264,16,1
158,ZTF20acywhhi,SLSN,0.372,12,12
159,ZTF19adgqlnp,SNIbc,0.318,3,6
160,ZTF22abvmfrx,SNIbc,0.308,10,4
161,ZTF22abyrapu,SNIbc,0.288,9,8
162,ZTF22abyqxuq,SNIbc,0.294,10,4
163,ZTF22abvlxjy,SLSN,0.346,12,8
164,ZTF22abunpys,SNII,0.342,4,19
165,ZTF22abywyrs,SNII,0.308,8,12
166,ZTF21achtath,SNIbc,0.376,4,6
167,ZTF22abyxail,SLSN,0.288,8,5
168,ZTF22abwveun,SNIbc,0.372,6,9
169,ZTF19adjibxd,SNIbc,0.414,6,9
170,ZTF19acqotmd,SNIbc,0.338,9,11
171,ZTF18adlyzyj,SLSN,0.266,3,8
172,ZTF22aabafih,SNIbc,0.332,4,8
173,ZTF18admaqin,SNIbc,0.326,8,7
174,ZTF22abyxdxn,SNIbc,0.358,7,11
175,ZTF20acoppsz,SNIbc,0.276,6,6
176,ZTF22abyxvyg,SNIbc,0.306,12,17
177,ZTF22abvedpi,SNIbc,0.43,3,8
178,ZTF18adimbkp,SLSN,0.268,8,7
179,ZTF22abyzowi,SNIbc,0.34,1,7
180,ZTF19adhdujl,SLSN,0.45,7,14
181,ZTF19adkiieo,SNIbc,0.304,10,5
182,ZTF22abywxim,SNIbc,0.29,2,9
183,ZTF22abyxvso,SNIbc,0.318,8,7
184,ZTF22abyxvvl,SNIbc,0.408,5,8
185,ZTF18admkiac,SNII,0.406,15,17
186,ZTF22abyxyxq,SNIbc,0.294,10,20
187,ZTF22abxtdog,SNIbc,0.362,1,9
188,ZTF22abzalhh,SNII,0.284,3,15
189,ZTF22aaeygpn,SNII,0.382,7,11
190,ZTF22abygigi,SNIbc,0.326,9,6
191,ZTF22abvgeod,SNIbc,0.326,4,18
192,ZTF18adnaidh,SNIbc,0.296,0,10
193,ZTF22abtznsz,SNIbc,0.32,4,10
194,ZTF19aacuvfw,SNII,0.324,11,11
195,ZTF22aaeyhwa,SNIbc,0.306,7,10
196,ZTF22abuaifr,SNII,0.338,2,8
197,ZTF22abysymd,SNII,0.352,11,12
198,ZTF22abywxyi,SNIbc,0.314,7,8
199,ZTF22abynryv,SNII,0.328,9,12
200,ZTF22abyzgep,SNII,0.316,14,3
201,ZTF22abyxaao,SNII,0.356,10,12
202,ZTF22abysuda,SNII,0.35,16,14
203,ZTF19aamfvgq,SNIbc,0.382,3,7
204,ZTF22abvmhmc,SNIbc,0.318,3,7
205,ZTF22abqsflv,SNII,0.408,6,16
206,ZTF22abucukc,SNIbc,0.336,6,8
207,ZTF22abvggmn,SNII,0.308,5,18
208,ZTF18adkxabm,SNIbc,0.314,12,17
209,ZTF22abubzcy,SNIbc,0.304,3,8
210,ZTF20abqztae,SNIbc,0.306,3,7
211,ZTF22abzoyfd,SNIbc,0.358,7,4
212,ZTF22abvmflb,SNII,0.35,9,9
213,ZTF20acwrzhp,SNIbc,0.318,11,2
214,ZTF19adhnxcg,SNII,0.31,5,7
215,ZTF22abznuzf,SNIbc,0.324,11,9
216,ZTF18adptesp,SNIbc,0.33,8,6
217,ZTF19acywnvy,SNIbc,0.3,1,6
218,ZTF20adhjujo,SNIbc,0.346,8,10
219,ZTF22aaommpo,SLSN,0.426,7,15
220,ZTF22abzyptp,SNII,0.342,8,9
221,ZTF22abwmnow,SNIbc,0.558,8,11
222,ZTF18acedfri,SNIbc,0.306,6,4
223,ZTF22acaaxbx,SNIbc,0.31,3,9
224,ZTF22abucsdo,SNIbc,0.398,6,2
225,ZTF22abucsrz,SNIbc,0.288,13,10
226,ZTF22abzyvps,SNIbc,0.37,6,1
227,ZTF22abzaiug,SNIbc,0.33,1,7
228,ZTF20adbftnv,SNII,0.32,11,9
229,ZTF20adbftxi,SNII,0.326,10,14
230,ZTF22abwuian,SNIbc,0.322,2,11
231,ZTF22abwukwg,SNIbc,0.358,1,7
232,ZTF22acaagmz,SNIbc,0.374,1,10
233,ZTF19adlwibk,SLSN,0.344,10,4
234,ZTF20adaybqk,SNIbc,0.272,10,7
235,ZTF20adaycua,SNII,0.31,13,9
236,ZTF22abxlqph,SNIa,0.272,4,6
237,ZTF22abykush,SNIbc,0.294,7,7
238,ZTF22abxltfq,SNII,0.36,2,14
239,ZTF22abxxnwi,SNIa,0.302,4,6
240,ZTF22abymsdf,SLSN,0.362,3,17
241,ZTF20adbjadc,SLSN,0.352,19,8
242,ZTF22abzaktb,SNIbc,0.288,0,15
243,ZTF22abyosnx,SNII,0.378,1,17
244,ZTF22acailyv,SNIbc,0.302,0,17
245,ZTF22abyosyy,SNIbc,0.33,0,14
246,ZTF22abzlqge,SNIbc,0.28,0,8
247,ZTF22abxomzd,SNIbc,0.404,2,12
248,ZTF18admcgbe,SNIbc,0.296,2,8
249,ZTF21aallabr,SNIbc,0.286,7,4
250,ZTF20acndtwp,SNII,0.31,10,7
251,ZTF22abyxdux,SNIbc,0.322,8,5
252,ZTF18abzsftk,SNIbc,0.388,9,7
253,ZTF22acaxukz,SNIbc,0.306,9,4
254,ZTF22acaxuwg,SNIbc,0.358,8,12
255,ZTF22acaxuzy,SNII,0.344,15,21
256,ZTF22acaxuut,SNII,0.406,12,18
257,ZTF22abzauug,SNIbc,0.302,0,21
258,ZTF22abvfxgg,SNIbc,0.322,2,7
259,ZTF22acayndi,SNII,0.316,4,15
260,ZTF21aanrdow,SNIbc,0.344,7,9
261,ZTF22acazarw,SLSN,0.296,10,4
262,ZTF20adbqgfs,SNII,0.304,7,14
263,ZTF20adbijup,SLSN,0.3,7,10
264,ZTF20adbscyk,SNII,0.386,11,13
265,ZTF22aabacwk,SNIbc,0.298,5,8
266,ZTF20aaegmwm,SNIbc,0.318,2,8
267,ZTF22abxbojv,SNIbc,0.32,9,4
268,ZTF22abygtes,SNIbc,0.28,9,5
269,ZTF22aaeyjgj,SLSN,0.352,12,8
270,ZTF20adayemu,SNII,0.332,7,9
271,ZTF20adbxeiu,SNIbc,0.282,5,9
272,ZTF22abygnnt,SNIbc,0.298,7,1
273,ZTF20adbxeso,SLSN,0.304,13,12
274,ZTF22abxlfpl,SNIbc,0.344,6,5
275,ZTF21aavpldi,SNIbc,0.364,8,5
276,ZTF22abwwdbv,SNIa,0.43,6,7
277,ZTF22abywzvp,SNII,0.296,9,8
278,ZTF21acsjoqs,SNIbc,0.36,3,10
279,ZTF22abyxdnm,SNIbc,0.326,9,3
280,ZTF22abqhidj,SNIbc,0.274,11,1
281,ZTF22abvggjl,SNIbc,0.346,5,18
282,ZTF22abznfuf,SNII,0.298,8,12
283,ZTF22abyoczz,SNIbc,0.398,9,5
284,ZTF22abyivor,SNIbc,0.464,3,10
285,ZTF22abvqmhw,SNIbc,0.4,5,9
286,ZTF22abxtcym,SNII,0.354,3,22
287,ZTF22abxonqa,SNIbc,0.456,6,7
288,ZTF20acytvxc,SLSN,0.356,10,4
289,ZTF22abxpykd,SNIbc,0.382,4,7
290,ZTF22abxqftq,SNIbc,0.356,6,1
291,ZTF22abzhiye,SNIbc,0.316,2,6
292,ZTF22acaqnmx,SLSN,0.34,7,12
293,ZTF22abxqldo,SNIa,0.478,6,8
294,ZTF18adpxjyk,SNII,0.318,7,13
295,ZTF22abwpyxv,SNIbc,0.37,6,8
296,ZTF22abwtoqq,SNIbc,0.296,8,5
297,ZTF22abygead,SNIbc,0.396,9,11
298,ZTF22abveydv,SLSN,0.308,1,8
299,ZTF22abyivlt,SNIbc,0.422,3,7
300,ZTF22acavcpl,SNIa,0.282,0,13
301,ZTF18adkhkae,SNIbc,0.376,4,7
302,ZTF22abzgjrm,SNIbc,0.304,8,16
303,ZTF22abysjzw,SNIbc,0.35,3,6
304,ZTF22abyivov,SNIbc,0.43,3,11
305,ZTF22abxzuje,SNIbc,0.586,12,13
306,ZTF22abohjwa,SNIbc,0.386,3,7
307,ZTF21accqdww,SNII,0.306,1,8
308,ZTF19adgnxeg,SNIbc,0.274,7,3
309,ZTF22abynkrn,SLSN,0.294,8,3
310,ZTF22abshyrq,SNIbc,0.382,3,9
311,ZTF22abzfygu,SNIbc,0.35,6,5
312,ZTF22abyjzya,SNIbc,0.286,9,4
313,ZTF22abyxbwz,SNIbc,0.29,8,3
314,ZTF18adngubh,SNIbc,0.274,7,3
315,ZTF18adqicub,SNIbc,0.316,7,2
316,ZTF20adcdtcs,SNIbc,0.336,6,8
317,ZTF23aaaaksc,SNIbc,0.41,6,7
318,ZTF18adqfwhc,SNIbc,0.324,7,9
319,ZTF18adqibpd,SNII,0.304,7,6
320,ZTF18adqgaik,SNIbc,0.31,6,3
321,ZTF22abucujt,SNIbc,0.29,8,6
322,ZTF18adqganr,SNII,0.366,10,13
323,ZTF23aaaatay,SNII,0.356,14,15
324,ZTF19addypby,SNIbc,0.306,4,7
325,ZTF18adaqphh,SNIbc,0.384,4,10
326,ZTF22abvdxut,SNIbc,0.316,6,10
327,ZTF21aaxwruf,SNIbc,0.452,4,6
328,ZTF23aaaaxux,SNII,0.356,5,11
329,ZTF22acaqyat,SNII,0.296,17,12
330,ZTF22abzhlal,SNII,0.286,10,8
331,ZTF22abzfotk,SNIa,0.368,7,13
332,ZTF22abzzttc,SNII,0.366,13,11
333,ZTF22aabjitx,SNIbc,0.304,7,7
334,ZTF19adhaele,SNIbc,0.324,1,6
335,ZTF20adcakab,SNIbc,0.35,4,6
336,ZTF22abzancm,SNIa,0.324,0,37
337,ZTF18adqechq,SNII,0.334,19,15
338,ZTF22abztcly,SNIbc,0.282,19,19
339,ZTF22aagzzmq,SNII,0.294,14,11
340,ZTF22acaxuse,SNIbc,0.336,5,8
341,ZTF22acadszu,SNIa,0.324,9,13
342,ZTF18admfjuq,SNIbc,0.26,15,9
343,ZTF23aaaeamu,SNIbc,0.29,9,8
344,ZTF19adawwow,SNIbc,0.314,1,8
345,ZTF23aaahwct,SNIbc,0.328,1,23
346,ZTF22abxlqol,SNIbc,0.298,7,16
347,ZTF18adosogh,SNIbc,0.348,6,3
348,ZTF22abyrvsz,SNIbc,0.3,2,7
349,ZTF22abyskhb,SNIbc,0.368,6,12
350,ZTF22abysady,SNIbc,0.324,2,8
351,ZTF22abytwjj,SNIbc,0.41,8,14
352,ZTF22abybbud,SNII,0.382,9,11
353,ZTF20adaybky,SNIbc,0.284,13,11
354,ZTF19adlwivt,SNIbc,0.336,8,11
